ƒ‰ƒCƒuƒ‰ƒŠ–¼,Í,ß,“à—e
Pandas,DataFrame,pandas.DataFrame,"pandas.DataFrame#classpandas.DataFrame(data=None,index=None,columns=None,dtype=None,copy=None)[source]#Two-dimensional, size-mutable, potentially heterogeneous tabular data.Data structure also contains labeled axes (rows and columns).
Arithmetic operations align on both row and column labels. Can be
thought of as a dict-like container for Series objects. The primary
pandas data structure.Parameters:datandarray (structured or homogeneous), Iterable, dict, or DataFrameDict can contain Series, arrays, constants, dataclass or list-like objects. If
data is a dict, column order follows insertion-order. If a dict contains Series
which have an index defined, it is aligned by its index. This alignment also
occurs if data is a Series or a DataFrame itself. Alignment is done on
Series/DataFrame inputs.If data is a list of dicts, column order follows insertion-order.indexIndex or array-likeIndex to use for resulting frame. Will default to RangeIndex if
no indexing information part of input data and no index provided.columnsIndex or array-likeColumn labels to use for resulting frame when data does not have them,
defaulting to RangeIndex(0, 1, 2, c, n). If data contains column labels,
will perform column selection instead.dtypedtype, default NoneData type to force. Only a single dtype is allowed. If None, infer.copybool or None, default NoneCopy data from inputs.
For dict data, the default of None behaves likecopy=True. For DataFrame
or 2d ndarray input, the default of None behaves likecopy=False.
If data is a dict containing one or more Series (possibly of different dtypes),copy=Falsewill ensure that these inputs are not copied.Changed in version 1.3.0.See alsoDataFrame.from_recordsConstructor from tuples, also record arrays.DataFrame.from_dictFrom dicts of Series, arrays, or dicts.read_csvRead a comma-separated values (csv) file into DataFrame.read_tableRead general delimited file into DataFrame.read_clipboardRead text from clipboard into DataFrame.NotesPlease reference theUser Guidefor more information.ExamplesConstructing DataFrame from a dictionary.>>>d={'col1':[1,2],'col2':[3,4]}>>>df=pd.DataFrame(data=d)>>>dfcol1  col20     1     31     2     4Notice that the inferred dtype is int64.>>>df.dtypescol1    int64col2    int64dtype: objectTo enforce a single dtype:>>>df=pd.DataFrame(data=d,dtype=np.int8)>>>df.dtypescol1    int8col2    int8dtype: objectConstructing DataFrame from a dictionary including Series:>>>d={'col1':[0,1,2,3],'col2':pd.Series([2,3],index=[2,3])}>>>pd.DataFrame(data=d,index=[0,1,2,3])col1  col20     0   NaN1     1   NaN2     2   2.03     3   3.0Constructing DataFrame from numpy ndarray:>>>df2=pd.DataFrame(np.array([[1,2,3],[4,5,6],[7,8,9]]),...columns=['a','b','c'])>>>df2a  b  c0  1  2  31  4  5  62  7  8  9Constructing DataFrame from a numpy ndarray that has labeled columns:>>>data=np.array([(1,2,3),(4,5,6),(7,8,9)],...dtype=[(""a"",""i4""),(""b"",""i4""),(""c"",""i4"")])>>>df3=pd.DataFrame(data,columns=['c','a'])...>>>df3c  a0  3  11  6  42  9  7Constructing DataFrame from dataclass:>>>fromdataclassesimportmake_dataclass>>>Point=make_dataclass(""Point"",[(""x"",int),(""y"",int)])>>>pd.DataFrame([Point(0,0),Point(0,3),Point(2,3)])x  y0  0  01  0  32  2  3Constructing DataFrame from Series/DataFrame:>>>ser=pd.Series([1,2,3],index=[""a"",""b"",""c""])>>>df=pd.DataFrame(data=ser,index=[""a"",""c""])>>>df0a  1c  3>>>df1=pd.DataFrame([1,2,3],index=[""a"",""b"",""c""],columns=[""x""])>>>df2=pd.DataFrame(data=df1,index=[""a"",""c""])>>>df2xa  1c  3AttributesTThe transpose of the DataFrame.atAccess a single value for a row/column label pair.attrsDictionary of global attributes of this dataset.axesReturn a list representing the axes of the DataFrame.columnsThe column labels of the DataFrame.dtypesReturn the dtypes in the DataFrame.emptyIndicator whether Series/DataFrame is empty.flagsGet the properties associated with this pandas object.iatAccess a single value for a row/column pair by integer position.ilocPurely integer-location based indexing for selection by position.indexThe index (row labels) of the DataFrame.locAccess a group of rows and columns by label(s) or a boolean array.ndimReturn an int representing the number of axes / array dimensions.shapeReturn a tuple representing the dimensionality of the DataFrame.sizeReturn an int representing the number of elements in this object.styleReturns a Styler object.valuesReturn a Numpy representation of the DataFrame.Methodsabs()Return a Series/DataFrame with absolute numeric value of each element.add(other[,?axis,?level,?fill_value])Get Addition of dataframe and other, element-wise (binary operatoradd).add_prefix(prefix[,?axis])Prefix labels with stringprefix.add_suffix(suffix[,?axis])Suffix labels with stringsuffix.agg([func,?axis])Aggregate using one or more operations over the specified axis.aggregate([func,?axis])Aggregate using one or more operations over the specified axis.align(other[,?join,?axis,?level,?copy,?...])Align two objects on their axes with the specified join method.all([axis,?bool_only,?skipna])Return whether all elements are True, potentially over an axis.any(*[,?axis,?bool_only,?skipna])Return whether any element is True, potentially over an axis.apply(func[,?axis,?raw,?result_type,?args,?...])Apply a function along an axis of the DataFrame.applymap(func[,?na_action])(DEPRECATED) Apply a function to a Dataframe elementwise.asfreq(freq[,?method,?how,?normalize,?...])Convert time series to specified frequency.asof(where[,?subset])Return the last row(s) without any NaNs beforewhere.assign(**kwargs)Assign new columns to a DataFrame.astype(dtype[,?copy,?errors])Cast a pandas object to a specified dtypedtype.at_time(time[,?asof,?axis])Select values at particular time of day (e.g., 9:30AM).backfill(*[,?axis,?inplace,?limit,?downcast])(DEPRECATED) Fill NA/NaN values by using the next valid observation to fill the gap.between_time(start_time,?end_time[,?...])Select values between particular times of the day (e.g., 9:00-9:30 AM).bfill(*[,?axis,?inplace,?limit,?downcast])Fill NA/NaN values by using the next valid observation to fill the gap.bool()(DEPRECATED) Return the bool of a single element Series or DataFrame.boxplot([column,?by,?ax,?fontsize,?rot,?...])Make a box plot from DataFrame columns.clip([lower,?upper,?axis,?inplace])Trim values at input threshold(s).combine(other,?func[,?fill_value,?overwrite])Perform column-wise combine with another DataFrame.combine_first(other)Update null elements with value in the same location inother.compare(other[,?align_axis,?keep_shape,?...])Compare to another DataFrame and show the differences.convert_dtypes([infer_objects,?...])Convert columns to the best possible dtypes using dtypes supportingpd.NA.copy([deep])Make a copy of this object's indices and data.corr([method,?min_periods,?numeric_only])Compute pairwise correlation of columns, excluding NA/null values.corrwith(other[,?axis,?drop,?method,?...])Compute pairwise correlation.count([axis,?numeric_only])Count non-NA cells for each column or row.cov([min_periods,?ddof,?numeric_only])Compute pairwise covariance of columns, excluding NA/null values.cummax([axis,?skipna])Return cumulative maximum over a DataFrame or Series axis.cummin([axis,?skipna])Return cumulative minimum over a DataFrame or Series axis.cumprod([axis,?skipna])Return cumulative product over a DataFrame or Series axis.cumsum([axis,?skipna])Return cumulative sum over a DataFrame or Series axis.describe([percentiles,?include,?exclude])Generate descriptive statistics.diff([periods,?axis])First discrete difference of element.div(other[,?axis,?level,?fill_value])Get Floating division of dataframe and other, element-wise (binary operatortruediv).divide(other[,?axis,?level,?fill_value])Get Floating division of dataframe and other, element-wise (binary operatortruediv).dot(other)Compute the matrix multiplication between the DataFrame and other.drop([labels,?axis,?index,?columns,?level,?...])Drop specified labels from rows or columns.drop_duplicates([subset,?keep,?inplace,?...])Return DataFrame with duplicate rows removed.droplevel(level[,?axis])Return Series/DataFrame with requested index / column level(s) removed.dropna(*[,?axis,?how,?thresh,?subset,?...])Remove missing values.duplicated([subset,?keep])Return boolean Series denoting duplicate rows.eq(other[,?axis,?level])Get Equal to of dataframe and other, element-wise (binary operatoreq).equals(other)Test whether two objects contain the same elements.eval(expr,?*[,?inplace])Evaluate a string describing operations on DataFrame columns.ewm([com,?span,?halflife,?alpha,?...])Provide exponentially weighted (EW) calculations.expanding([min_periods,?axis,?method])Provide expanding window calculations.explode(column[,?ignore_index])Transform each element of a list-like to a row, replicating index values.ffill(*[,?axis,?inplace,?limit,?downcast])Fill NA/NaN values by propagating the last valid observation to next valid.fillna([value,?method,?axis,?inplace,?...])Fill NA/NaN values using the specified method.filter([items,?like,?regex,?axis])Subset the dataframe rows or columns according to the specified index labels.first(offset)(DEPRECATED) Select initial periods of time series data based on a date offset.first_valid_index()Return index for first non-NA value or None, if no non-NA value is found.floordiv(other[,?axis,?level,?fill_value])Get Integer division of dataframe and other, element-wise (binary operatorfloordiv).from_dict(data[,?orient,?dtype,?columns])Construct DataFrame from dict of array-like or dicts.from_records(data[,?index,?exclude,?...])Convert structured or record ndarray to DataFrame.ge(other[,?axis,?level])Get Greater than or equal to of dataframe and other, element-wise (binary operatorge).get(key[,?default])Get item from object for given key (ex: DataFrame column).groupby([by,?axis,?level,?as_index,?sort,?...])Group DataFrame using a mapper or by a Series of columns.gt(other[,?axis,?level])Get Greater than of dataframe and other, element-wise (binary operatorgt).head([n])Return the firstnrows.hist([column,?by,?grid,?xlabelsize,?xrot,?...])Make a histogram of the DataFrame's columns.idxmax([axis,?skipna,?numeric_only])Return index of first occurrence of maximum over requested axis.idxmin([axis,?skipna,?numeric_only])Return index of first occurrence of minimum over requested axis.infer_objects([copy])Attempt to infer better dtypes for object columns.info([verbose,?buf,?max_cols,?memory_usage,?...])Print a concise summary of a DataFrame.insert(loc,?column,?value[,?allow_duplicates])Insert column into DataFrame at specified location.interpolate([method,?axis,?limit,?inplace,?...])Fill NaN values using an interpolation method.isetitem(loc,?value)Set the given value in the column with positionloc.isin(values)Whether each element in the DataFrame is contained in values.isna()Detect missing values.isnull()DataFrame.isnull is an alias for DataFrame.isna.items()Iterate over (column name, Series) pairs.iterrows()Iterate over DataFrame rows as (index, Series) pairs.itertuples([index,?name])Iterate over DataFrame rows as namedtuples.join(other[,?on,?how,?lsuffix,?rsuffix,?...])Join columns of another DataFrame.keys()Get the 'info axis' (see Indexing for more).kurt([axis,?skipna,?numeric_only])Return unbiased kurtosis over requested axis.kurtosis([axis,?skipna,?numeric_only])Return unbiased kurtosis over requested axis.last(offset)(DEPRECATED) Select final periods of time series data based on a date offset.last_valid_index()Return index for last non-NA value or None, if no non-NA value is found.le(other[,?axis,?level])Get Less than or equal to of dataframe and other, element-wise (binary operatorle).lt(other[,?axis,?level])Get Less than of dataframe and other, element-wise (binary operatorlt).map(func[,?na_action])Apply a function to a Dataframe elementwise.mask(cond[,?other,?inplace,?axis,?level])Replace values where the condition is True.max([axis,?skipna,?numeric_only])Return the maximum of the values over the requested axis.mean([axis,?skipna,?numeric_only])Return the mean of the values over the requested axis.median([axis,?skipna,?numeric_only])Return the median of the values over the requested axis.melt([id_vars,?value_vars,?var_name,?...])Unpivot a DataFrame from wide to long format, optionally leaving identifiers set.memory_usage([index,?deep])Return the memory usage of each column in bytes.merge(right[,?how,?on,?left_on,?right_on,?...])Merge DataFrame or named Series objects with a database-style join.min([axis,?skipna,?numeric_only])Return the minimum of the values over the requested axis.mod(other[,?axis,?level,?fill_value])Get Modulo of dataframe and other, element-wise (binary operatormod).mode([axis,?numeric_only,?dropna])Get the mode(s) of each element along the selected axis.mul(other[,?axis,?level,?fill_value])Get Multiplication of dataframe and other, element-wise (binary operatormul).multiply(other[,?axis,?level,?fill_value])Get Multiplication of dataframe and other, element-wise (binary operatormul).ne(other[,?axis,?level])Get Not equal to of dataframe and other, element-wise (binary operatorne).nlargest(n,?columns[,?keep])Return the firstnrows ordered bycolumnsin descending order.notna()Detect existing (non-missing) values.notnull()DataFrame.notnull is an alias for DataFrame.notna.nsmallest(n,?columns[,?keep])Return the firstnrows ordered bycolumnsin ascending order.nunique([axis,?dropna])Count number of distinct elements in specified axis.pad(*[,?axis,?inplace,?limit,?downcast])(DEPRECATED) Fill NA/NaN values by propagating the last valid observation to next valid.pct_change([periods,?fill_method,?limit,?freq])Fractional change between the current and a prior element.pipe(func,?*args,?**kwargs)Apply chainable functions that expect Series or DataFrames.pivot(*,?columns[,?index,?values])Return reshaped DataFrame organized by given index / column values.pivot_table([values,?index,?columns,?...])Create a spreadsheet-style pivot table as a DataFrame.plotalias ofPlotAccessorpop(item)Return item and drop from frame.pow(other[,?axis,?level,?fill_value])Get Exponential power of dataframe and other, element-wise (binary operatorpow).prod([axis,?skipna,?numeric_only,?min_count])Return the product of the values over the requested axis.product([axis,?skipna,?numeric_only,?min_count])Return the product of the values over the requested axis.quantile([q,?axis,?numeric_only,?...])Return values at the given quantile over requested axis.query(expr,?*[,?inplace])Query the columns of a DataFrame with a boolean expression.radd(other[,?axis,?level,?fill_value])Get Addition of dataframe and other, element-wise (binary operatorradd).rank([axis,?method,?numeric_only,?...])Compute numerical data ranks (1 through n) along axis.rdiv(other[,?axis,?level,?fill_value])Get Floating division of dataframe and other, element-wise (binary operatorrtruediv).reindex([labels,?index,?columns,?axis,?...])Conform DataFrame to new index with optional filling logic.reindex_like(other[,?method,?copy,?limit,?...])Return an object with matching indices as other object.rename([mapper,?index,?columns,?axis,?copy,?...])Rename columns or index labels.rename_axis([mapper,?index,?columns,?axis,?...])Set the name of the axis for the index or columns.reorder_levels(order[,?axis])Rearrange index levels using input order.replace([to_replace,?value,?inplace,?limit,?...])Replace values given into_replacewithvalue.resample(rule[,?axis,?closed,?label,?...])Resample time-series data.reset_index([level,?drop,?inplace,?...])Reset the index, or a level of it.rfloordiv(other[,?axis,?level,?fill_value])Get Integer division of dataframe and other, element-wise (binary operatorrfloordiv).rmod(other[,?axis,?level,?fill_value])Get Modulo of dataframe and other, element-wise (binary operatorrmod).rmul(other[,?axis,?level,?fill_value])Get Multiplication of dataframe and other, element-wise (binary operatorrmul).rolling(window[,?min_periods,?center,?...])Provide rolling window calculations.round([decimals])Round a DataFrame to a variable number of decimal places.rpow(other[,?axis,?level,?fill_value])Get Exponential power of dataframe and other, element-wise (binary operatorrpow).rsub(other[,?axis,?level,?fill_value])Get Subtraction of dataframe and other, element-wise (binary operatorrsub).rtruediv(other[,?axis,?level,?fill_value])Get Floating division of dataframe and other, element-wise (binary operatorrtruediv).sample([n,?frac,?replace,?weights,?...])Return a random sample of items from an axis of object.select_dtypes([include,?exclude])Return a subset of the DataFrame's columns based on the column dtypes.sem([axis,?skipna,?ddof,?numeric_only])Return unbiased standard error of the mean over requested axis.set_axis(labels,?*[,?axis,?copy])Assign desired index to given axis.set_flags(*[,?copy,?allows_duplicate_labels])Return a new object with updated flags.set_index(keys,?*[,?drop,?append,?inplace,?...])Set the DataFrame index using existing columns.shift([periods,?freq,?axis,?fill_value,?suffix])Shift index by desired number of periods with an optional timefreq.skew([axis,?skipna,?numeric_only])Return unbiased skew over requested axis.sort_index(*[,?axis,?level,?ascending,?...])Sort object by labels (along an axis).sort_values(by,?*[,?axis,?ascending,?...])Sort by the values along either axis.sparsealias ofSparseFrameAccessorsqueeze([axis])Squeeze 1 dimensional axis objects into scalars.stack([level,?dropna,?sort,?future_stack])Stack the prescribed level(s) from columns to index.std([axis,?skipna,?ddof,?numeric_only])Return sample standard deviation over requested axis.sub(other[,?axis,?level,?fill_value])Get Subtraction of dataframe and other, element-wise (binary operatorsub).subtract(other[,?axis,?level,?fill_value])Get Subtraction of dataframe and other, element-wise (binary operatorsub).sum([axis,?skipna,?numeric_only,?min_count])Return the sum of the values over the requested axis.swapaxes(axis1,?axis2[,?copy])(DEPRECATED) Interchange axes and swap values axes appropriately.swaplevel([i,?j,?axis])Swap levels i and j in aMultiIndex.tail([n])Return the lastnrows.take(indices[,?axis])Return the elements in the givenpositionalindices along an axis.to_clipboard([excel,?sep])Copy object to the system clipboard.to_csv([path_or_buf,?sep,?na_rep,?...])Write object to a comma-separated values (csv) file.to_dict([orient,?into,?index])Convert the DataFrame to a dictionary.to_excel(excel_writer[,?sheet_name,?na_rep,?...])Write object to an Excel sheet.to_feather(path,?**kwargs)Write a DataFrame to the binary Feather format.to_gbq(destination_table[,?project_id,?...])Write a DataFrame to a Google BigQuery table.to_hdf(path_or_buf,?key[,?mode,?complevel,?...])Write the contained data to an HDF5 file using HDFStore.to_html([buf,?columns,?col_space,?header,?...])Render a DataFrame as an HTML table.to_json([path_or_buf,?orient,?date_format,?...])Convert the object to a JSON string.to_latex([buf,?columns,?header,?index,?...])Render object to a LaTeX tabular, longtable, or nested table.to_markdown([buf,?mode,?index,?storage_options])Print DataFrame in Markdown-friendly format.to_numpy([dtype,?copy,?na_value])Convert the DataFrame to a NumPy array.to_orc([path,?engine,?index,?engine_kwargs])Write a DataFrame to the ORC format.to_parquet([path,?engine,?compression,?...])Write a DataFrame to the binary parquet format.to_period([freq,?axis,?copy])Convert DataFrame from DatetimeIndex to PeriodIndex.to_pickle(path[,?compression,?protocol,?...])Pickle (serialize) object to file.to_records([index,?column_dtypes,?index_dtypes])Convert DataFrame to a NumPy record array.to_sql(name,?con,?*[,?schema,?if_exists,?...])Write records stored in a DataFrame to a SQL database.to_stata(path,?*[,?convert_dates,?...])Export DataFrame object to Stata dta format.to_string([buf,?columns,?col_space,?header,?...])Render a DataFrame to a console-friendly tabular output.to_timestamp([freq,?how,?axis,?copy])Cast to DatetimeIndex of timestamps, atbeginningof period.to_xarray()Return an xarray object from the pandas object.to_xml([path_or_buffer,?index,?root_name,?...])Render a DataFrame to an XML document.transform(func[,?axis])Callfuncon self producing a DataFrame with the same axis shape as self.transpose(*args[,?copy])Transpose index and columns.truediv(other[,?axis,?level,?fill_value])Get Floating division of dataframe and other, element-wise (binary operatortruediv).truncate([before,?after,?axis,?copy])Truncate a Series or DataFrame before and after some index value.tz_convert(tz[,?axis,?level,?copy])Convert tz-aware axis to target time zone.tz_localize(tz[,?axis,?level,?copy,?...])Localize tz-naive index of a Series or DataFrame to target time zone.unstack([level,?fill_value,?sort])Pivot a level of the (necessarily hierarchical) index labels.update(other[,?join,?overwrite,?...])Modify in place using non-NA values from another DataFrame.value_counts([subset,?normalize,?sort,?...])Return a Series containing the frequency of each distinct row in the Dataframe.var([axis,?skipna,?ddof,?numeric_only])Return unbiased variance over requested axis.where(cond[,?other,?inplace,?axis,?level])Replace values where the condition is False.xs(key[,?axis,?level,?drop_level])Return cross-section from the Series/DataFrame."
Pandas,DataFrame,pandas.DataFrame.index,"pandas.DataFrame.index#DataFrame.index#The index (row labels) of the DataFrame.The index of a DataFrame is a series of labels that identify each row.
The labels can be integers, strings, or any other hashable type. The index
is used for label-based access and alignment, and can be accessed or
modified using this attribute.Returns:pandas.IndexThe index labels of the DataFrame.See alsoDataFrame.columnsThe column labels of the DataFrame.DataFrame.to_numpyConvert the DataFrame to a NumPy array.Examples>>>df=pd.DataFrame({'Name':['Alice','Bob','Aritra'],...'Age':[25,30,35],...'Location':['Seattle','New York','Kona']},...index=([10,20,30]))>>>df.indexIndex([10, 20, 30], dtype='int64')In this example, we create a DataFrame with 3 rows and 3 columns,
including Name, Age, and Location information. We set the index labels to
be the integers 10, 20, and 30. We then access theindexattribute of the
DataFrame, which returns anIndexobject containing the index labels.>>>df.index=[100,200,300]>>>dfName  Age Location100  Alice   25  Seattle200    Bob   30 New York300  Aritra  35    KonaIn this example, we modify the index labels of the DataFrame by assigning
a new list of labels to theindexattribute. The DataFrame is then
updated with the new labels, and the output shows the modified DataFrame."
Pandas,DataFrame,pandas.DataFrame.columns,"pandas.DataFrame.columns#DataFrame.columns#The column labels of the DataFrame.Examples>>>df=pd.DataFrame({'A':[1,2],'B':[3,4]})>>>dfA  B0    1  31    2  4>>>df.columnsIndex(['A', 'B'], dtype='object')"
Pandas,DataFrame,pandas.DataFrame.dtypes,"pandas.DataFrame.dtypes#propertyDataFrame.dtypes[source]#Return the dtypes in the DataFrame.This returns a Series with the data type of each column.
The resultfs index is the original DataFramefs columns. Columns
with mixed types are stored with theobjectdtype. Seethe User Guidefor more.Returns:pandas.SeriesThe data type of each column.Examples>>>df=pd.DataFrame({'float':[1.0],...'int':[1],...'datetime':[pd.Timestamp('20180310')],...'string':['foo']})>>>df.dtypesfloat              float64int                  int64datetime    datetime64[ns]string              objectdtype: object"
Pandas,DataFrame,pandas.DataFrame.info,"pandas.DataFrame.info#DataFrame.info(verbose=None,buf=None,max_cols=None,memory_usage=None,show_counts=None)[source]#Print a concise summary of a DataFrame.This method prints information about a DataFrame including
the index dtype and columns, non-null values and memory usage.Parameters:verbosebool, optionalWhether to print the full summary. By default, the setting inpandas.options.display.max_info_columnsis followed.bufwritable buffer, defaults to sys.stdoutWhere to send the output. By default, the output is printed to
sys.stdout. Pass a writable buffer if you need to further process
the output.max_colsint, optionalWhen to switch from the verbose to the truncated output. If the
DataFrame has more thanmax_colscolumns, the truncated output
is used. By default, the setting inpandas.options.display.max_info_columnsis used.memory_usagebool, str, optionalSpecifies whether total memory usage of the DataFrame
elements (including the index) should be displayed. By default,
this follows thepandas.options.display.memory_usagesetting.True always show memory usage. False never shows memory usage.
A value of edeepf is equivalent to gTrue with deep introspectionh.
Memory usage is shown in human-readable units (base-2
representation). Without deep introspection a memory estimation is
made based in column dtype and number of rows assuming values
consume the same memory amount for corresponding dtypes. With deep
memory introspection, a real memory usage calculation is performed
at the cost of computational resources. See theFrequently Asked Questionsfor more
details.show_countsbool, optionalWhether to show the non-null counts. By default, this is shown
only if the DataFrame is smaller thanpandas.options.display.max_info_rowsandpandas.options.display.max_info_columns. A value of True always
shows the counts, and False never shows the counts.Returns:NoneThis method prints a summary of a DataFrame and returns None.See alsoDataFrame.describeGenerate descriptive statistics of DataFrame columns.DataFrame.memory_usageMemory usage of DataFrame columns.Examples>>>int_values=[1,2,3,4,5]>>>text_values=['alpha','beta','gamma','delta','epsilon']>>>float_values=[0.0,0.25,0.5,0.75,1.0]>>>df=pd.DataFrame({""int_col"":int_values,""text_col"":text_values,...""float_col"":float_values})>>>dfint_col text_col  float_col0        1    alpha       0.001        2     beta       0.252        3    gamma       0.503        4    delta       0.754        5  epsilon       1.00Prints information of all columns:>>>df.info(verbose=True)<class 'pandas.core.frame.DataFrame'>RangeIndex: 5 entries, 0 to 4Data columns (total 3 columns):#   Column     Non-Null Count  Dtype---  ------     --------------  -----0   int_col    5 non-null      int641   text_col   5 non-null      object2   float_col  5 non-null      float64dtypes: float64(1), int64(1), object(1)memory usage: 248.0+ bytesPrints a summary of columns count and its dtypes but not per column
information:>>>df.info(verbose=False)<class 'pandas.core.frame.DataFrame'>RangeIndex: 5 entries, 0 to 4Columns: 3 entries, int_col to float_coldtypes: float64(1), int64(1), object(1)memory usage: 248.0+ bytesPipe output of DataFrame.info to buffer instead of sys.stdout, get
buffer content and writes to a text file:>>>importio>>>buffer=io.StringIO()>>>df.info(buf=buffer)>>>s=buffer.getvalue()>>>withopen(""df_info.txt"",""w"",...encoding=""utf-8"")asf:...f.write(s)260Thememory_usageparameter allows deep introspection mode, specially
useful for big DataFrames and fine-tune memory optimization:>>>random_strings_array=np.random.choice(['a','b','c'],10**6)>>>df=pd.DataFrame({...'column_1':np.random.choice(['a','b','c'],10**6),...'column_2':np.random.choice(['a','b','c'],10**6),...'column_3':np.random.choice(['a','b','c'],10**6)...})>>>df.info()<class 'pandas.core.frame.DataFrame'>RangeIndex: 1000000 entries, 0 to 999999Data columns (total 3 columns):#   Column    Non-Null Count    Dtype---  ------    --------------    -----0   column_1  1000000 non-null  object1   column_2  1000000 non-null  object2   column_3  1000000 non-null  objectdtypes: object(3)memory usage: 22.9+ MB>>>df.info(memory_usage='deep')<class 'pandas.core.frame.DataFrame'>RangeIndex: 1000000 entries, 0 to 999999Data columns (total 3 columns):#   Column    Non-Null Count    Dtype---  ------    --------------    -----0   column_1  1000000 non-null  object1   column_2  1000000 non-null  object2   column_3  1000000 non-null  objectdtypes: object(3)memory usage: 165.9 MB"
Pandas,DataFrame,pandas.DataFrame.select_dtypes,"pandas.DataFrame.select_dtypes#DataFrame.select_dtypes(include=None,exclude=None)[source]#Return a subset of the DataFramefs columns based on the column dtypes.Parameters:include, excludescalar or list-likeA selection of dtypes or strings to be included/excluded. At least
one of these parameters must be supplied.Returns:DataFrameThe subset of the frame including the dtypes inincludeand
excluding the dtypes inexclude.Raises:ValueErrorIf both ofincludeandexcludeare emptyIfincludeandexcludehave overlapping elementsIf any kind of string dtype is passed in.See alsoDataFrame.dtypesReturn Series with the data type of each column.NotesTo select allnumerictypes, usenp.numberor'number'To select strings you must use theobjectdtype, but note that
this will returnallobject dtype columnsSee thenumpy dtype hierarchyTo select datetimes, usenp.datetime64,'datetime'or'datetime64'To select timedeltas, usenp.timedelta64,'timedelta'or'timedelta64'To select Pandas categorical dtypes, use'category'To select Pandas datetimetz dtypes, use'datetimetz'or'datetime64[ns,tz]'Examples>>>df=pd.DataFrame({'a':[1,2]*3,...'b':[True,False]*3,...'c':[1.0,2.0]*3})>>>dfa      b  c0       1   True  1.01       2  False  2.02       1   True  1.03       2  False  2.04       1   True  1.05       2  False  2.0>>>df.select_dtypes(include='bool')b0  True1  False2  True3  False4  True5  False>>>df.select_dtypes(include=['float64'])c0  1.01  2.02  1.03  2.04  1.05  2.0>>>df.select_dtypes(exclude=['int64'])b    c0   True  1.01  False  2.02   True  1.03  False  2.04   True  1.05  False  2.0"
Pandas,DataFrame,pandas.DataFrame.values,"pandas.DataFrame.values#propertyDataFrame.values[source]#Return a Numpy representation of the DataFrame.WarningWe recommend usingDataFrame.to_numpy()instead.Only the values in the DataFrame will be returned, the axes labels
will be removed.Returns:numpy.ndarrayThe values of the DataFrame.See alsoDataFrame.to_numpyRecommended alternative to this method.DataFrame.indexRetrieve the index labels.DataFrame.columnsRetrieving the column names.NotesThe dtype will be a lower-common-denominator dtype (implicit
upcasting); that is to say if the dtypes (even of numeric types)
are mixed, the one that accommodates all will be chosen. Use this
with care if you are not dealing with the blocks.e.g. If the dtypes are float16 and float32, dtype will be upcast to
float32. If dtypes are int32 and uint8, dtype will be upcast to
int32. Bynumpy.find_common_type()convention, mixing int64
and uint64 will result in a float64 dtype.ExamplesA DataFrame where all columns are the same type (e.g., int64) results
in an array of the same type.>>>df=pd.DataFrame({'age':[3,29],...'height':[94,170],...'weight':[31,115]})>>>dfage  height  weight0    3      94      311   29     170     115>>>df.dtypesage       int64height    int64weight    int64dtype: object>>>df.valuesarray([[  3,  94,  31],[ 29, 170, 115]])A DataFrame with mixed type columns(e.g., str/object, int64, float32)
results in an ndarray of the broadest type that accommodates these
mixed types (e.g., object).>>>df2=pd.DataFrame([('parrot',24.0,'second'),...('lion',80.5,1),...('monkey',np.nan,None)],...columns=('name','max_speed','rank'))>>>df2.dtypesname          objectmax_speed    float64rank          objectdtype: object>>>df2.valuesarray([['parrot', 24.0, 'second'],['lion', 80.5, 1],['monkey', nan, None]], dtype=object)"
Pandas,DataFrame,pandas.DataFrame.axes,"pandas.DataFrame.axes#propertyDataFrame.axes[source]#Return a list representing the axes of the DataFrame.It has the row axis labels and column axis labels as the only members.
They are returned in that order.Examples>>>df=pd.DataFrame({'col1':[1,2],'col2':[3,4]})>>>df.axes[RangeIndex(start=0, stop=2, step=1), Index(['col1', 'col2'],dtype='object')]"
Pandas,DataFrame,pandas.DataFrame.ndim,"pandas.DataFrame.ndim#propertyDataFrame.ndim[source]#Return an int representing the number of axes / array dimensions.Return 1 if Series. Otherwise return 2 if DataFrame.See alsondarray.ndimNumber of array dimensions.Examples>>>s=pd.Series({'a':1,'b':2,'c':3})>>>s.ndim1>>>df=pd.DataFrame({'col1':[1,2],'col2':[3,4]})>>>df.ndim2"
Pandas,DataFrame,pandas.DataFrame.size,"pandas.DataFrame.size#propertyDataFrame.size[source]#Return an int representing the number of elements in this object.Return the number of rows if Series. Otherwise return the number of
rows times number of columns if DataFrame.See alsondarray.sizeNumber of elements in the array.Examples>>>s=pd.Series({'a':1,'b':2,'c':3})>>>s.size3>>>df=pd.DataFrame({'col1':[1,2],'col2':[3,4]})>>>df.size4"
